title,revenue,budget,genres,release_date,original_language,profit
Night at the Museum,574480841,110000000,"Action, Adventure, Comedy, Family, Fantasy",12/20/2006,en,464480841
Insurgent,297002527,110000000,"Action, Adventure, Science Fiction, Thriller",3/18/2015,en,187002527
A Beautiful Mind,316800000,58000000,"Drama, Romance",12/11/2001,en,258800000
Soul,136384442,150000000,"Animation, Family, Comedy, Fantasy, Drama",12/25/2020,en,-13615558
Aladdin,1054304000,183000000,"Adventure, Fantasy, Romance, Family",5/22/2019,en,871304000
Dune,402027830,165000000,"Science Fiction, Adventure",9/15/2021,en,237027830
"Three Billboards Outside Ebbing, Missouri",160192031,15000000,"Crime, Drama",12/1/2017,en,145192031
X2,407711549,110000000,"Adventure, Action, Science Fiction",4/27/2003,en,297711549
The Mask,351583407,23000000,"Romance, Comedy, Crime, Fantasy",7/29/1994,en,328583407
Miss Peregrine's Home for Peculiar Children,296482446,110000000,"Fantasy, Adventure",9/27/2016,en,186482446
